diamond_id,size,color,fancy_color_dominant_color,fancy_color_secondary_color,fancy_color_overtone,fancy_color_intensity,clarity,cut,symmetry,polish,depth_percent,table_percent,meas_length,meas_width,meas_depth,girdle_min,girdle_max,culet_size,culet_condition,fluor_color,fluor_intensity,lab,total_sales_price,eye_clean,date
260648666,1.01,J,Blue,Chameleon,Greenish,Fancy Light,I1,Fair,Fair,Poor,1.6,1.8,8.55,15.49,6.25,XTK,STN,L,White,Green,Faint,HRD,1291896,Yes,2014-11-02
672342859,1.67,E,Black,Black,Pinkish,Fancy Light,VVS2,Fair,Good,Poor,9.6,7.9,14.13,11.98,7.18,XTK,TN,SL,Yellow,White,Faint,HRD,916521,Borderline,2008-02-24
259590902,17.58,E,Pink,Purple,Grayish,Light,VVS1,Good,Excellent,Fair,9.5,8.2,6.43,12.89,15.88,XTK,STN,SL,Green,Blue,Slight,IGI,216960,E1,2005-05-01
936399284,3.93,I,Black,Red,Purplish,Fancy Vivid,SI3,Good,Excellent,Very Good,7.8,3.1,9.47,14.85,4.34,VTN,TN,SL,Green,Green,Strong,HRD,545855,Borderline,2008-03-23
673138987,14.51,H,Pink,Orange,Orangey,Light,IF,Good,Fair,Fair,9.3,0.5,10.89,3.03,8.56,XTK,M,SL,Orange,Blue,Very Slight,HRD,708207,No,2013-09-23
518685196,13.58,M,Other,Green,Orangey,Fancy Deep,SI2,Excellent,Good,Fair,8.3,6.4,6.84,9.78,3.55,TN,STK,S,White,Green,Very Slight,HRD,803418,E1,2019-10-03
700850291,9.88,J,Gray,Green,Yellowish,Fancy Dark,I1,Excellent,Excellent,Excellent,0.4,7.8,9.28,4.51,4.31,STN,XTN,N,Orange,Orange,Faint,IGI,1194139,Borderline,2010-11-08
180273214,14.53,K,Other,Pink,Brownish,Fancy,SI2,Fair,Very Good,Very Good,4.4,3.6,5.78,15.88,16.84,STK,M,VL,White,Orange,Faint,GIA,149430,Borderline,2015-07-03
788141593,1.01,H,Green,Purple,Brownish,Fancy,IF,Fair,Very Good,Fair,7.3,7.6,8.14,7.02,4.35,VTN,TK,S,Yellow,Blue,Very Slight,GIA,154908,No,2020-03-22
552690212,17.79,H,Blue,Blue,Pinkish,Faint,I1,Poor,Poor,Good,0.5,0.5,10.16,10.74,13.63,XTK,XTK,N,White,Yellow,Medium,IGI,59845,Yes,2005-12-13
471963588,19.03,H,Pink,Orange,Pinkish,Fancy,VVS1,Poor,Good,Very Good,4.4,4.7,9.13,4.05,12.82,VTN,STN,EL,White,Blue,Slight,IGI,1443297,No,2020-11-24
257281567,15.81,I,Pink,Brown,Grayish,Fancy Dark,I2,Fair,Very Good,Excellent,8.8,5.4,13.01,3.9,3.97,TK,XTK,VL,Orange,Blue,Very Slight,GIA,720719,E1,2008-04-12
117423156,4.05,G,Green,Brown,Greenish,Fancy Light,VVS2,Very Good,Very Good,Excellent,1.8,9.0,10.08,5.37,15.01,VTK,VTN,EL,Orange,White,Medium,HRD,749215,Borderline,2008-05-03
787858638,5.76,H,Yellow,Brown,Greenish,Fancy,VS1,Fair,Good,Poor,3.6,3.7,8.72,5.07,13.31,XTK,VTN,EL,Blue,White,Medium,GIA,1197887,No,2008-11-20
464756226,4.19,M,Red,Red,Yellowish,Light,SI1,Fair,Poor,Fair,9.5,6.3,3.12,9.21,11.56,XTN,XTK,S,Blue,Yellow,Very Slight,HRD,56599,Borderline,2024-03-28
135493298,8.4,K,Brown,Red,Brownish,Fancy Vivid,VVS1,Poor,Fair,Fair,0.6,1.5,11.65,3.45,7.95,XTN,XTN,M,Green,White,Very Slight,HRD,120451,Yes,2011-09-10
438267269,5.05,K,Yellow,Purple,Purplish,Very Light,VS1,Very Good,Very Good,Excellent,3.8,6.4,16.04,9.48,8.59,STK,STN,VS,White,White,Very Slight,IGI,496928,Yes,2006-09-29
443509546,8.02,K,Red,Other,Greenish,Fancy Intense,VS1,Fair,Fair,Excellent,3.3,6.3,16.63,6.76,5.04,VTK,VTN,L,Green,Orange,Strong,IGI,909149,Yes,2017-06-05
845627180,6.48,I,Green,Blue,Pinkish,Fancy Intense,VVS1,Very Good,Poor,Very Good,6.2,8.9,2.9,14.2,11.03,M,TN,SL,Blue,White,Very Slight,IGI,859787,Borderline,2008-08-07
630571247,3.12,I,Brown,Chameleon,Purplish,Fancy,VS1,Very Good,Very Good,Very Good,8.4,0.5,14.13,14.44,7.75,XTN,XTN,SL,White,Yellow,Medium,GIA,1150287,Yes,2013-01-02
620620876,6.61,J,Blue,Gray,Yellowish,Fancy Intense,SI3,Fair,Poor,Poor,0.3,2.0,13.94,3.83,14.6,M,M,L,Orange,Orange,Faint,HRD,36012,Borderline,2004-07-04
992131667,15.95,K,Yellow,Blue,Grayish,Fancy,I3,Very Good,Fair,Fair,5.7,2.2,12.82,4.36,5.25,STK,XTK,L,Green,Blue,Very Strong,GIA,63485,No,2008-11-30
729727578,15.82,I,Chameleon,Gray,Yellowish,Faint,IF,Excellent,Poor,Very Good,9.4,7.8,9.92,14.93,4.29,VTN,VTK,N,Orange,Orange,Faint,GIA,860171,Borderline,2021-01-28
210171436,15.33,L,Green,Orange,Greenish,Fancy,I3,Good,Good,Excellent,8.4,5.4,14.98,15.6,12.72,XTK,TK,L,Yellow,Orange,Very Slight,IGI,620381,No,2018-06-23
302209602,7.63,F,Green,Blue,Greenish,Fancy Deep,I3,Excellent,Fair,Poor,5.7,5.1,6.95,7.32,9.7,M,TN,EL,Blue,Green,Faint,GIA,368844,Yes,2005-01-21
749004839,14.87,G,Green,Pink,Purplish,Fancy Dark,VVS2,Good,Poor,Fair,0.3,7.6,8.37,11.2,4.52,STK,XTN,SL,Yellow,Blue,Strong,HRD,1067396,Yes,2018-12-25
517495705,6.66,H,Other,Purple,Orangey,Fancy Intense,IF,Poor,Good,Very Good,6.5,8.6,12.71,16.53,6.47,M,XTK,EL,Green,Blue,Strong,IGI,1284110,Borderline,2007-03-15
710576574,19.25,G,Green,Orange,Greenish,Fancy Deep,I1,Good,Good,Excellent,9.0,0.2,15.82,8.62,2.96,M,TK,SL,White,Blue,Medium,HRD,430821,E1,2008-09-18
557476442,10.07,F,Blue,Red,Purplish,Fancy Light,VS2,Good,Good,Very Good,5.6,1.6,10.48,15.11,16.61,VTK,STK,M,Yellow,Blue,Slight,GIA,694131,E1,2017-08-19
551475555,14.23,I,Brown,Chameleon,Greenish,Faint,I2,Excellent,Fair,Poor,6.7,0.5,6.18,10.85,3.66,VTN,STN,EL,Orange,White,Faint,HRD,251543,Borderline,2009-12-17
196088896,2.04,K,Black,Brown,Yellowish,Fancy Intense,VVS1,Good,Very Good,Fair,2.9,7.1,13.83,3.59,15.32,XTK,M,L,White,White,Strong,GIA,1007787,No,2012-01-25
376663666,15.72,M,Red,Green,Orangey,Fancy Dark,VVS2,Very Good,Poor,Poor,7.5,7.0,11.06,4.47,4.27,STN,TK,SL,White,Orange,Very Slight,IGI,722426,E1,2018-11-05
782757408,9.0,G,Red,Gray,Orangey,Fancy Dark,SI3,Good,Excellent,Excellent,8.4,7.5,11.98,4.41,11.77,XTN,M,SL,Blue,Blue,Very Slight,HRD,323278,Borderline,2021-08-30
837997559,16.91,M,Green,Brown,Pinkish,Fancy Deep,VS1,Very Good,Good,Excellent,5.7,2.5,10.93,4.72,9.46,STK,VTK,VL,Blue,Blue,Very Slight,HRD,1239839,E1,2009-08-27
280743979,0.31,J,Chameleon,Orange,Purplish,Fancy Light,I1,Poor,Excellent,Fair,0.7,2.6,3.35,4.69,4.04,XTK,M,SL,White,Green,Slight,IGI,1031738,Yes,2010-01-12
260322903,5.96,D,Orange,Orange,Orangey,Fancy Light,SI1,Fair,Poor,Very Good,4.8,2.3,13.52,11.36,13.57,TK,STK,EL,Orange,Green,Faint,IGI,476998,No,2020-12-21
